,Clase,Sobrevivió,Nombre,Sexo,Edad,Ticket,Tarifa,Cabina,Bote de Rescate,Cuerpo,Destino
102,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",Mujer,23.0,11767,83.0,C54,7,Desconocido,"Mt Airy, Philadelphia, PA"
103,1,1,"Endres, Miss. Caroline Louise",Mujer,38.0,PC 17757,227.0,C45,4,Desconocido,"New York, NY"
104,1,1,"Eustis, Miss. Elizabeth Mussey",Mujer,54.0,36947,78.0,D20,4,Desconocido,"Brookline, MA"
105,1,0,"Evans, Miss. Edith Corse",Mujer,36.0,PC 17531,31.0,A29,Desconocido,Desconocido,"New York, NY"
106,1,0,"Farthing, Mr. John",Hombre,0.0,PC 17483,221.0,C95,Desconocido,Desconocido,Desconocido
107,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",Mujer,0.0,PC 17598,31.0,Desconocida,7,Desconocido,"New York, NY"
108,1,1,"Fleming, Miss. Margaret",Mujer,0.0,17421,110.0,Desconocida,4,Desconocido,Desconocido
109,1,1,"Flynn, Mr. John Irwin (""Irving"")",Hombre,36.0,PC 17474,26.0,E25,5,Desconocido,"Brooklyn, NY"
110,1,0,"Foreman, Mr. Benjamin Laventall",Hombre,30.0,113051,27.0,C111,Desconocido,Desconocido,"New York, NY"
111,1,1,"Fortune, Miss. Alice Elizabeth",Mujer,24.0,19950,263.0,C23 C25 C27,10,Desconocido,"Winnipeg, MB"
112,1,1,"Fortune, Miss. Ethel Flora",Mujer,28.0,19950,263.0,C23 C25 C27,10,Desconocido,"Winnipeg, MB"
113,1,1,"Fortune, Miss. Mabel Helen",Mujer,23.0,19950,263.0,C23 C25 C27,10,Desconocido,"Winnipeg, MB"
114,1,0,"Fortune, Mr. Charles Alexander",Hombre,19.0,19950,263.0,C23 C25 C27,Desconocido,Desconocido,"Winnipeg, MB"
115,1,0,"Fortune, Mr. Mark",Hombre,64.0,19950,263.0,C23 C25 C27,Desconocido,Desconocido,"Winnipeg, MB"
116,1,1,"Fortune, Mrs. Mark (Mary McDougald)",Mujer,60.0,19950,263.0,C23 C25 C27,10,Desconocido,"Winnipeg, MB"
117,1,1,"Francatelli, Miss. Laura Mabel",Mujer,30.0,PC 17485,56.0,E36,1,Desconocido,Desconocido
118,1,0,"Franklin, Mr. Thomas Parham",Hombre,0.0,113778,26.0,D34,Desconocido,Desconocido,"Westcliff-on-Sea, Essex"
119,1,1,"Frauenthal, Dr. Henry William",Hombre,50.0,PC 17611,133.0,Desconocida,5,Desconocido,"New York, NY"
120,1,1,"Frauenthal, Mr. Isaac Gerald",Hombre,43.0,17765,27.0,D40,5,Desconocido,"New York, NY"
121,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Mujer,0.0,PC 17611,133.0,Desconocida,5,Desconocido,"New York, NY"
122,1,1,"Frolicher, Miss. Hedwig Margaritha",Mujer,22.0,13568,49.0,B39,5,Desconocido,"Zurich, Switzerland"
123,1,1,"Frolicher-Stehli, Mr. Maxmillian",Hombre,60.0,13567,79.0,B41,5,Desconocido,"Zurich, Switzerland"
124,1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",Mujer,48.0,13567,79.0,B41,5,Desconocido,"Zurich, Switzerland"
125,1,0,"Fry, Mr. Richard",Hombre,0.0,112058,0.0,B102,Desconocido,Desconocido,Desconocido
126,1,0,"Futrelle, Mr. Jacques Heath",Hombre,37.0,113803,53.0,C123,Desconocido,Desconocido,"Scituate, MA"
127,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mujer,35.0,113803,53.0,C123,D,Desconocido,"Scituate, MA"
128,1,0,"Gee, Mr. Arthur H",Hombre,47.0,111320,38.0,E63,Desconocido,275.0,"St Anne's-on-Sea, Lancashire"
129,1,1,"Geiger, Miss. Amalie",Mujer,35.0,113503,211.0,C130,4,Desconocido,Desconocido
130,1,1,"Gibson, Miss. Dorothy Winifred",Mujer,22.0,112378,59.0,Desconocida,7,Desconocido,"New York, NY"
131,1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",Mujer,45.0,112378,59.0,Desconocida,7,Desconocido,"New York, NY"
132,1,0,"Giglio, Mr. Victor",Hombre,24.0,PC 17593,79.0,B86,Desconocido,Desconocido,Desconocido
133,1,1,"Goldenberg, Mr. Samuel L",Hombre,49.0,17453,89.0,C92,5,Desconocido,"Paris, France / New York, NY"
134,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Mujer,0.0,17453,89.0,C92,5,Desconocido,"Paris, France / New York, NY"
135,1,0,"Goldschmidt, Mr. George B",Hombre,71.0,PC 17754,34.0,A5,Desconocido,Desconocido,"New York, NY"
136,1,1,"Gracie, Col. Archibald IV",Hombre,53.0,113780,28.0,C51,B,Desconocido,"Washington, DC"
137,1,1,"Graham, Miss. Margaret Edith",Mujer,19.0,112053,30.0,B42,3,Desconocido,"Greenwich, CT"
138,1,0,"Graham, Mr. George Edward",Hombre,38.0,PC 17582,153.0,C91,Desconocido,147.0,"Winnipeg, MB"
139,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",Mujer,58.0,PC 17582,153.0,C125,3,Desconocido,"Greenwich, CT"
140,1,1,"Greenfield, Mr. William Bertram",Hombre,23.0,PC 17759,63.0,D10 D12,7,Desconocido,"New York, NY"
141,1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",Mujer,45.0,PC 17759,63.0,D10 D12,7,Desconocido,"New York, NY"
142,1,0,"Guggenheim, Mr. Benjamin",Hombre,46.0,PC 17593,79.0,B82 B84,Desconocido,Desconocido,"New York, NY"
143,1,1,"Harder, Mr. George Achilles",Hombre,25.0,11765,55.0,E50,5,Desconocido,"Brooklyn, NY"
144,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",Mujer,25.0,11765,55.0,E50,5,Desconocido,"Brooklyn, NY"
145,1,1,"Harper, Mr. Henry Sleeper",Hombre,48.0,PC 17572,76.0,D33,3,Desconocido,"New York, NY"
146,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mujer,49.0,PC 17572,76.0,D33,3,Desconocido,"New York, NY"
147,1,0,"Harrington, Mr. Charles H",Hombre,0.0,113796,42.0,Desconocida,Desconocido,Desconocido,Desconocido
148,1,0,"Harris, Mr. Henry Birkhardt",Hombre,45.0,36973,83.0,C83,Desconocido,Desconocido,"New York, NY"
149,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Mujer,35.0,36973,83.0,C83,D,Desconocido,"New York, NY"
150,1,0,"Harrison, Mr. William",Hombre,40.0,112059,0.0,B94,Desconocido,110.0,Desconocido
151,1,1,"Hassab, Mr. Hammad",Hombre,27.0,PC 17572,76.0,D49,3,Desconocido,Desconocido
152,1,1,"Hawksford, Mr. Walter James",Hombre,0.0,16988,30.0,D45,3,Desconocido,"Kingston, Surrey"
153,1,1,"Hays, Miss. Margaret Bechstein",Mujer,24.0,11767,83.0,C54,7,Desconocido,"New York, NY"
154,1,0,"Hays, Mr. Charles Melville",Hombre,55.0,12749,93.0,B69,Desconocido,307.0,"Montreal, PQ"
155,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Mujer,52.0,12749,93.0,B69,3,Desconocido,"Montreal, PQ"
156,1,0,"Head, Mr. Christopher",Hombre,42.0,113038,42.0,B11,Desconocido,Desconocido,London / Middlesex
157,1,0,"Hilliard, Mr. Herbert Henry",Hombre,0.0,17463,51.0,E46,Desconocido,Desconocido,"Brighton, MA"
158,1,0,"Hipkins, Mr. William Edward",Hombre,55.0,680,50.0,C39,Desconocido,Desconocido,London / Birmingham
159,1,1,"Hippach, Miss. Jean Gertrude",Mujer,16.0,111361,57.0,B18,4,Desconocido,"Chicago, IL"
160,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Mujer,44.0,111361,57.0,B18,4,Desconocido,"Chicago, IL"
161,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",Mujer,51.0,13502,77.0,D11,10,Desconocido,"Hudson, NY"
162,1,0,"Holverson, Mr. Alexander Oskar",Hombre,42.0,113789,52.0,Desconocida,Desconocido,38.0,"New York, NY"
163,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Mujer,35.0,113789,52.0,Desconocida,8,Desconocido,"New York, NY"
164,1,1,"Homer, Mr. Harry (""Mr E Haven"")",Hombre,35.0,111426,26.0,Desconocida,15,Desconocido,"Indianapolis, IN"
165,1,1,"Hoyt, Mr. Frederick Maxfield",Hombre,38.0,19943,90.0,C93,D,Desconocido,"New York, NY /  Stamford CT"
166,1,0,"Hoyt, Mr. William Fisher",Hombre,0.0,PC 17600,30.0,Desconocida,14,Desconocido,"New York, NY"
167,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Mujer,35.0,19943,90.0,C93,D,Desconocido,"New York, NY /  Stamford CT"
168,1,1,"Icard, Miss. Amelie",Mujer,38.0,113572,80.0,B28,6,Desconocido,Desconocido
169,1,0,"Isham, Miss. Ann Elizabeth",Mujer,50.0,PC 17595,28.0,C49,Desconocido,Desconocido,"Paris, France New York, NY"
170,1,1,"Ismay, Mr. Joseph Bruce",Hombre,49.0,112058,0.0,B52 B54 B56,C,Desconocido,Liverpool
171,1,0,"Jones, Mr. Charles Cresson",Hombre,46.0,694,26.0,Desconocida,Desconocido,80.0,"Bennington, VT"
172,1,0,"Julian, Mr. Henry Forbes",Hombre,50.0,113044,26.0,E60,Desconocido,Desconocido,London
173,1,0,"Keeping, Mr. Edwin",Hombre,32.0,113503,211.0,C132,Desconocido,45.0,Desconocido
174,1,0,"Kent, Mr. Edward Austin",Hombre,58.0,11771,29.0,B37,Desconocido,258.0,"Buffalo, NY"
175,1,0,"Kenyon, Mr. Frederick R",Hombre,41.0,17464,51.0,D21,Desconocido,Desconocido,"Southington / Noank, CT"
176,1,1,"Kenyon, Mrs. Frederick R (Marion)",Mujer,0.0,17464,51.0,D21,8,Desconocido,"Southington / Noank, CT"
177,1,1,"Kimball, Mr. Edwin Nelson Jr",Hombre,42.0,11753,52.0,D19,5,Desconocido,"Boston, MA"
178,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",Mujer,45.0,11753,52.0,D19,5,Desconocido,"Boston, MA"
179,1,0,"Klaber, Mr. Herman",Hombre,0.0,113028,26.0,C124,Desconocido,Desconocido,"Portland, OR"
180,1,1,"Kreuchen, Miss. Emilie",Mujer,39.0,24160,211.0,Desconocida,2,Desconocido,Desconocido
181,1,1,"Leader, Dr. Alice (Farnham)",Mujer,49.0,17465,25.0,D17,8,Desconocido,"New York, NY"
182,1,1,"LeRoy, Miss. Bertha",Mujer,30.0,PC 17761,106.0,Desconocida,2,Desconocido,Desconocido
183,1,1,"Lesurer, Mr. Gustave J",Hombre,35.0,PC 17755,512.0,B101,3,Desconocido,Desconocido
184,1,0,"Lewy, Mr. Ervin G",Hombre,0.0,PC 17612,27.0,Desconocida,Desconocido,Desconocido,"Chicago, IL"
185,1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",Hombre,42.0,17475,26.0,Desconocida,Desconocido,Desconocido,"Stockholm, Sweden"
186,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",Mujer,55.0,112377,27.0,Desconocida,6,Desconocido,"Stockholm, Sweden"
187,1,1,"Lines, Miss. Mary Conover",Mujer,16.0,PC 17592,39.0,D28,9,Desconocido,"Paris, France"
188,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",Mujer,51.0,PC 17592,39.0,D28,9,Desconocido,"Paris, France"
189,1,0,"Long, Mr. Milton Clyde",Hombre,29.0,113501,30.0,D6,Desconocido,126.0,"Springfield, MA"
190,1,1,"Longley, Miss. Gretchen Fiske",Mujer,21.0,13502,77.0,D9,10,Desconocido,"Hudson, NY"
191,1,0,"Loring, Mr. Joseph Holland",Hombre,30.0,113801,45.0,Desconocida,Desconocido,Desconocido,"London / New York, NY"
192,1,1,"Lurette, Miss. Elise",Mujer,58.0,PC 17569,146.0,B80,Desconocido,Desconocido,Desconocido
193,1,1,"Madill, Miss. Georgette Alexandra",Mujer,15.0,24160,211.0,B5,2,Desconocido,"St Louis, MO"
194,1,0,"Maguire, Mr. John Edward",Hombre,30.0,110469,26.0,C106,Desconocido,Desconocido,"Brockton, MA"
195,1,1,"Maioni, Miss. Roberta",Mujer,16.0,110152,86.0,B79,8,Desconocido,Desconocido
196,1,1,"Marechal, Mr. Pierre",Hombre,0.0,11774,29.0,C47,7,Desconocido,"Paris, France"
197,1,0,"Marvin, Mr. Daniel Warner",Hombre,19.0,113773,53.0,D30,Desconocido,Desconocido,"New York, NY"
198,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",Mujer,18.0,113773,53.0,D30,10,Desconocido,"New York, NY"
199,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",Mujer,24.0,PC 17482,49.0,C90,6,Desconocido,"Belgium  Montreal, PQ"
200,1,0,"McCaffry, Mr. Thomas Francis",Hombre,46.0,13050,75.0,C6,Desconocido,292.0,"Vancouver, BC"
201,1,0,"McCarthy, Mr. Timothy J",Hombre,54.0,17463,51.0,E46,Desconocido,175.0,"Dorchester, MA"
202,1,1,"McGough, Mr. James Robert",Hombre,36.0,PC 17473,26.0,E25,7,Desconocido,"Philadelphia, PA"
203,1,0,"Meyer, Mr. Edgar Joseph",Hombre,28.0,PC 17604,82.0,Desconocida,Desconocido,Desconocido,"New York, NY"
